titolo	data
"We Will Rock You” al Gran Teatro Geox	18 marzo 2023
Arlecchino muto per spavento, lo spettacolo al Verdi di Padova	dal 18 al 19 marzo 2023
“In direzione ostinata e contraria”, Giulio Casale canta e racconta Fabrizio De André al teatro Ferrari	18 marzo 2023
Disturbi del comportamento alimentare, la città di Selvazzano dentro si colora di lilla	18 marzo 2023
Taste of Past & Art, assaggi di archeologia: arte pittorica ed eccellenze enogastronomiche agli Eremitani	18 marzo 2023
Visita allo storico rione Palestro denominato "quartiere cinese" tra storie, aneddoti, curiosità e aperitivo finale	18 marzo 2023
Liveplay "Coldplay" al teatro sociale di Cittadella	18 marzo 2023
Visita guidata: "Padova, l'università e la goliardia, un legame indissolubile"	18 marzo 2023
Crociera fluviale a Padova e brindisi a bordo	18 marzo 2023
EsperiMusme: "Viaggio nel corpo umano"	18 marzo 2023
“Be Comics!” il festival del fumetto alla fiera di Padova	dal 18 al 19 marzo 2023
"We Will Rock You” al Gran Teatro Geox	18 marzo 2023
Arlecchino muto per spavento, lo spettacolo al Verdi di Padova	dal 18 al 19 marzo 2023
“In direzione ostinata e contraria”, Giulio Casale canta e racconta Fabrizio De André al teatro Ferrari	18 marzo 2023
Disturbi del comportamento alimentare, la città di Selvazzano dentro si colora di lilla	18 marzo 2023
Taste of Past & Art, assaggi di archeologia: arte pittorica ed eccellenze enogastronomiche agli Eremitani	18 marzo 2023
Visita allo storico rione Palestro denominato "quartiere cinese" tra storie, aneddoti, curiosità e aperitivo finale	18 marzo 2023
Liveplay "Coldplay" al teatro sociale di Cittadella	18 marzo 2023
Visita guidata: "Padova, l'università e la goliardia, un legame indissolubile"	18 marzo 2023
Crociera fluviale a Padova e brindisi a bordo	18 marzo 2023
EsperiMusme: "Viaggio nel corpo umano"	18 marzo 2023
“Tutti hanno paura tour”, Ernia alla Kioene Arena	19 marzo 2023
Arturo Brachetti in "Solo, The legend of quick-change" al Gran teatro Geox	19 marzo 2023
Domenica in musica: il Quartetto Acquerello alla Sala dei Giganti	19 marzo 2023
In barca con papà, laboratorio per famiglie al Museo della Navigazione Fluviale	19 marzo 2023
«Arlecchinata», i burattini al centro civico Alda Merini di Montegrotto per la festa del papà	19 marzo 2023
Abano Street Carnival	19 marzo 2023
Visita alla scoperta dell'antico borgo rurale di Ca' Murà e aperitivo in compagnia	19 marzo 2023
Visita guidata: "La Padova ebraica e la sua sinagoga"	19 marzo 2023
Festa del papà al castello di San Pelagio	19 marzo 2023
“Tutti hanno paura tour”, Ernia alla Kioene Arena	19 marzo 2023
Arturo Brachetti in "Solo, The legend of quick-change" al Gran teatro Geox	19 marzo 2023
Domenica in musica: il Quartetto Acquerello alla Sala dei Giganti	19 marzo 2023
In barca con papà, laboratorio per famiglie al Museo della Navigazione Fluviale	19 marzo 2023
«Arlecchinata», i burattini al centro civico Alda Merini di Montegrotto per la festa del papà	19 marzo 2023
Abano Street Carnival	19 marzo 2023
Visita alla scoperta dell'antico borgo rurale di Ca' Murà e aperitivo in compagnia	19 marzo 2023
Visita guidata: "La Padova ebraica e la sua sinagoga"	19 marzo 2023
Festa del papà al castello di San Pelagio	19 marzo 2023
“Tutti hanno paura tour”, Ernia alla Kioene Arena	19 marzo 2023
Arturo Brachetti in "Solo, The legend of quick-change" al Gran teatro Geox	19 marzo 2023
Domenica in musica: il Quartetto Acquerello alla Sala dei Giganti	19 marzo 2023
In barca con papà, laboratorio per famiglie al Museo della Navigazione Fluviale	19 marzo 2023
«Arlecchinata», i burattini al centro civico Alda Merini di Montegrotto per la festa del papà	19 marzo 2023
Abano Street Carnival	19 marzo 2023
Visita alla scoperta dell'antico borgo rurale di Ca' Murà e aperitivo in compagnia	19 marzo 2023
Visita guidata: "La Padova ebraica e la sua sinagoga"	19 marzo 2023
Festa del papà al castello di San Pelagio	19 marzo 2023
"Capaci 30 anni dopo", incontro con gli uomini della scorta Falcone Quarto Savona 15	21 marzo 2023
"Capaci 30 anni dopo", incontro con gli uomini della scorta Falcone Quarto Savona 15	21 marzo 2023
"Capaci 30 anni dopo", incontro con gli uomini della scorta Falcone Quarto Savona 15	21 marzo 2023
